timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 12:39:01.436, 52, 14.02 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 12:39:02.447, 56, 27.09 W, 2483 MHz, [N/A], 0 %, [N/A]
2026/07/19 12:39:03.447, 57, 41.21 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:04.447, 58, 41.14 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:05.448, 58, 41.47 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:06.448, 58, 41.43 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:07.448, 59, 41.64 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:08.449, 60, 41.87 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:09.449, 60, 41.58 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:10.450, 60, 42.44 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:11.450, 61, 42.10 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:12.450, 61, 42.09 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:13.451, 61, 42.20 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:14.451, 61, 42.20 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:15.452, 62, 42.44 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:16.452, 62, 42.65 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:17.453, 62, 42.54 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:18.454, 63, 42.92 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:19.454, 63, 42.68 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:20.454, 63, 42.72 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:21.455, 64, 42.99 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:22.455, 64, 43.20 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:23.456, 64, 43.06 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:39:24.456, 64, 43.14 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:39:25.456, 60, 29.88 W, 2405 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:26.457, 69, 41.88 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:27.457, 67, 67.96 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:28.457, 67, 67.89 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:29.458, 70, 68.40 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:30.458, 68, 69.00 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:31.458, 69, 71.37 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:32.459, 71, 69.77 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:33.459, 70, 66.40 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:34.459, 71, 67.82 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:35.460, 74, 70.94 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:36.460, 73, 72.40 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:37.461, 75, 66.51 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:38.461, 75, 70.01 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:39.462, 72, 70.77 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:40.462, 74, 73.36 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:41.462, 73, 66.59 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:42.463, 71, 69.39 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:43.463, 74, 71.10 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:44.463, 72, 74.10 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:45.463, 71, 69.59 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:46.464, 76, 62.69 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:47.464, 72, 66.58 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:48.464, 77, 71.19 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:49.465, 77, 74.85 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:50.465, 72, 67.42 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:51.465, 73, 69.38 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:52.466, 77, 70.61 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:53.466, 76, 74.83 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:54.466, 73, 72.82 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:55.467, 77, 67.70 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:56.467, 78, 70.93 W, 2424 MHz, [N/A], 96 %, [N/A]
