timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 12:39:01.820, 55, 21.29 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:02.850, 55, 37.76 W, 2470 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:03.850, 56, 41.52 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:04.851, 56, 41.44 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:05.851, 57, 41.92 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:39:06.852, 57, 41.69 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:39:07.852, 58, 42.02 W, 2470 MHz, [N/A], 93 %, [N/A]
2026/07/19 12:39:08.852, 58, 42.12 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:39:09.853, 58, 42.29 W, 2450 MHz, [N/A], 93 %, [N/A]
2026/07/19 12:39:10.853, 59, 42.05 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:11.854, 59, 42.19 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:39:12.854, 59, 42.22 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:13.854, 59, 42.41 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:14.855, 60, 42.22 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:15.855, 60, 42.65 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:16.856, 60, 42.76 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:17.856, 61, 42.78 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:18.856, 61, 42.70 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:19.856, 60, 42.63 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:20.857, 61, 42.97 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:21.857, 61, 42.97 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:22.857, 61, 43.15 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:23.858, 62, 43.11 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:24.858, 62, 43.17 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:39:25.860, 62, 23.66 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 12:39:26.860, 64, 57.07 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:27.861, 68, 68.61 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:28.861, 67, 69.90 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:29.861, 69, 70.42 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:30.862, 66, 69.84 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:31.862, 69, 72.30 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:32.862, 66, 68.97 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:33.862, 73, 68.31 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:34.862, 72, 69.19 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:35.863, 72, 73.35 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:36.863, 69, 73.46 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:37.863, 68, 72.21 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:38.864, 73, 71.01 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:39.864, 72, 74.51 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:40.864, 73, 74.02 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:41.864, 69, 72.79 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:42.865, 70, 73.33 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:43.865, 73, 73.49 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:44.865, 72, 75.01 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:45.866, 73, 70.03 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:46.866, 74, 65.74 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:47.866, 74, 70.35 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:48.867, 75, 75.96 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:49.867, 72, 75.77 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:50.868, 72, 71.15 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:51.868, 71, 73.58 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:52.868, 77, 74.83 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:53.868, 77, 76.44 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:54.869, 74, 73.88 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:55.869, 75, 72.37 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:56.870, 72, 71.37 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:57.870, 77, 76.41 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:58.871, 77, 76.43 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:39:59.871, 74, 75.30 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:00.871, 75, 75.67 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:01.871, 77, 74.68 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:02.871, 75, 77.63 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:03.872, 73, 76.10 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:04.872, 80, 76.00 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:05.872, 76, 74.66 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:06.872, 76, 75.98 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:07.873, 75, 77.67 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:08.873, 74, 76.12 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:09.873, 74, 74.38 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:10.873, 79, 74.11 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:11.873, 78, 79.06 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:12.874, 79, 78.44 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:13.874, 79, 76.82 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:14.874, 77, 76.16 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:15.875, 74, 75.47 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:16.875, 80, 79.63 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:17.875, 76, 78.25 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:18.875, 76, 76.79 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:19.876, 77, 73.05 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:20.876, 75, 75.81 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:21.876, 75, 78.97 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:22.876, 76, 79.02 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:23.876, 78, 74.67 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:24.877, 77, 75.81 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:25.878, 80, 76.56 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:26.878, 76, 80.12 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:27.879, 77, 79.48 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:28.879, 79, 75.71 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:29.880, 81, 76.62 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:30.880, 80, 76.40 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:31.881, 77, 79.85 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:32.881, 81, 79.75 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:33.882, 78, 77.31 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:34.882, 80, 76.74 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:35.882, 81, 77.12 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:36.882, 77, 79.74 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:37.882, 76, 79.92 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:38.883, 81, 76.81 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:39.883, 83, 77.81 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:40.883, 79, 76.30 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:41.883, 82, 81.11 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:42.883, 83, 79.69 W, 2366 MHz, [N/A], 96 %, [N/A]
