timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:42:36.794, 53, 16.84 W, 2418 MHz, [N/A], 46 %, [N/A]
2026/07/19 10:42:37.815, 55, 33.56 W, 2470 MHz, [N/A], 46 %, [N/A]
2026/07/19 10:42:38.815, 56, 41.24 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:39.816, 57, 41.54 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:40.816, 57, 41.88 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:41.816, 57, 42.15 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:42:42.817, 58, 42.44 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:43.818, 58, 42.37 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:42:44.818, 58, 42.32 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:45.819, 58, 41.29 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:42:46.820, 59, 42.30 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:47.820, 59, 42.49 W, 2470 MHz, [N/A], 93 %, [N/A]
2026/07/19 10:42:48.821, 60, 42.71 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:49.822, 60, 42.85 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:50.822, 60, 42.80 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:51.823, 60, 43.00 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:42:52.823, 60, 43.84 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:53.823, 61, 42.73 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:54.824, 61, 43.00 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:55.824, 61, 43.04 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:56.825, 62, 42.92 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:42:57.825, 62, 43.40 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:58.826, 62, 43.36 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:59.827, 62, 43.32 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:43:00.828, 59, 21.82 W, 2431 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:43:01.829, 61, 46.33 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:02.829, 69, 57.76 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:03.830, 67, 61.91 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:04.830, 70, 70.88 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:05.831, 67, 70.14 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:06.832, 67, 72.00 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:07.833, 67, 72.25 W, 2424 MHz, [N/A], 96 %, [N/A]
