timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 11:44:27.900, 49, 13.60 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 11:44:28.913, 54, 26.47 W, 2483 MHz, [N/A], 0 %, [N/A]
2026/07/19 11:44:29.913, 54, 40.67 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:30.913, 55, 41.03 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:31.914, 56, 40.94 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:32.914, 56, 41.37 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:33.914, 57, 41.38 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:34.915, 57, 41.53 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:35.915, 58, 41.47 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:36.915, 58, 42.74 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:37.915, 59, 41.72 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:38.915, 59, 41.73 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:39.916, 60, 42.11 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:40.916, 60, 41.99 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:41.917, 60, 42.46 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:42.917, 61, 42.38 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:43.918, 62, 43.35 W, 2476 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:44.918, 62, 42.50 W, 2489 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:45.919, 62, 42.43 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:46.919, 62, 42.38 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:47.920, 62, 42.50 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:48.921, 62, 42.65 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:49.921, 63, 42.52 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:50.922, 63, 42.73 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:51.922, 65, 29.97 W, 2437 MHz, [N/A], 0 %, [N/A]
2026/07/19 11:44:52.922, 70, 68.35 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:53.923, 66, 68.14 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:54.923, 68, 66.66 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:55.924, 71, 69.51 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:56.924, 67, 70.58 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:57.925, 70, 71.14 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:58.926, 67, 65.51 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:59.926, 69, 66.25 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:00.927, 71, 67.62 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:01.927, 71, 72.70 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:02.928, 70, 67.44 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:03.928, 69, 70.00 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:04.928, 69, 70.84 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:05.929, 73, 72.97 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:06.929, 70, 69.77 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:07.929, 73, 69.18 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:08.930, 73, 69.75 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:09.930, 71, 73.68 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:10.931, 71, 72.85 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:11.931, 73, 64.20 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:12.932, 72, 60.23 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:13.932, 71, 64.35 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:14.933, 72, 74.50 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:15.933, 72, 72.25 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:16.934, 73, 69.60 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:17.934, 77, 71.76 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:18.934, 75, 73.10 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:19.935, 74, 76.05 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:20.935, 76, 68.63 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:21.936, 75, 71.12 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:22.936, 74, 70.63 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:23.937, 77, 75.85 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:24.937, 74, 73.82 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:25.938, 76, 70.54 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:26.938, 74, 73.31 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:27.939, 75, 73.11 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:28.939, 78, 77.71 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:29.940, 77, 70.99 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:30.940, 77, 72.57 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:31.940, 74, 72.28 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:32.941, 73, 76.21 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:33.941, 76, 76.52 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:34.942, 75, 70.28 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:35.943, 77, 73.10 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:36.943, 75, 73.80 W, 2405 MHz, [N/A], 96 %, [N/A]
