timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 11:44:28.273, 53, 20.02 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:29.297, 53, 36.44 W, 2489 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:30.298, 54, 41.03 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:31.299, 54, 41.19 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:32.299, 55, 41.47 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:33.300, 55, 41.49 W, 2470 MHz, [N/A], 93 %, [N/A]
2026/07/19 11:44:34.300, 56, 41.42 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:35.301, 56, 41.78 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:36.302, 57, 42.92 W, 2457 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:37.302, 57, 41.67 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:38.303, 57, 41.84 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:39.303, 57, 41.78 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:40.304, 58, 42.08 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:41.304, 58, 42.15 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:42.305, 59, 42.40 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:43.305, 59, 42.33 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:44.306, 59, 43.53 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:45.306, 59, 42.24 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:46.307, 59, 42.18 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:47.308, 60, 42.43 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:48.308, 60, 42.47 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:49.308, 60, 42.54 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:50.309, 61, 42.59 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:44:51.310, 58, 39.39 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:44:52.310, 68, 43.27 W, 2437 MHz, [N/A], 0 %, [N/A]
2026/07/19 11:44:53.311, 63, 66.64 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:54.311, 65, 70.20 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:55.312, 67, 70.68 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:56.312, 66, 69.82 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:57.313, 71, 72.34 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:58.314, 65, 70.53 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:44:59.314, 69, 67.67 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:00.314, 71, 67.47 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:01.315, 71, 71.96 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:02.315, 72, 72.90 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:03.315, 72, 72.14 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:04.316, 69, 72.89 W, 2431 MHz, [N/A], 96 %, [N/A]
