timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:28:00.651, 47, 12.60 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:01.662, 47, 12.60 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:02.662, 47, 12.53 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:03.663, 47, 12.53 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:04.663, 47, 12.52 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:05.663, 47, 12.48 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:06.663, 47, 14.12 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:07.664, 53, 38.13 W, 2489 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:08.664, 53, 40.23 W, 2489 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:09.665, 53, 40.26 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:10.665, 54, 40.31 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:11.665, 55, 40.32 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:12.666, 55, 40.30 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:13.666, 55, 40.67 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:14.667, 56, 40.62 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:15.667, 56, 42.03 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:16.667, 56, 40.79 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:17.668, 57, 40.90 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:18.668, 57, 40.90 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:19.668, 57, 41.15 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:20.669, 58, 41.18 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:21.669, 57, 41.34 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:22.670, 58, 41.79 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:23.670, 58, 41.17 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:24.670, 59, 40.92 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:25.671, 59, 41.24 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:26.671, 58, 41.36 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:27.672, 59, 41.58 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:28.673, 56, 38.10 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:29.673, 67, 38.91 W, 2444 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:30.674, 68, 67.11 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:31.674, 63, 70.19 W, 2437 MHz, [N/A], 96 %, [N/A]
