timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:28:00.341, 48, 13.38 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:01.352, 48, 13.50 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:02.353, 48, 13.50 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:03.353, 48, 13.53 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:04.354, 48, 13.52 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:05.354, 48, 13.52 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:06.354, 48, 13.53 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:07.355, 53, 30.63 W, 2489 MHz, [N/A], 76 %, [N/A]
2026/07/19 10:28:08.355, 53, 39.83 W, 2502 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:09.356, 54, 39.91 W, 2483 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:10.356, 55, 40.11 W, 2483 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:11.357, 55, 40.20 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:12.358, 56, 40.12 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:13.358, 56, 40.38 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:14.358, 57, 40.61 W, 2483 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:15.359, 57, 41.89 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:16.360, 58, 40.73 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:17.360, 58, 40.83 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:18.361, 58, 40.86 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:19.361, 59, 40.93 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:20.362, 59, 41.15 W, 2483 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:21.362, 60, 41.22 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:22.362, 60, 41.85 W, 2476 MHz, [N/A], 71 %, [N/A]
2026/07/19 10:28:23.363, 60, 41.28 W, 2483 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:24.363, 60, 40.86 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:25.364, 61, 41.38 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:26.364, 61, 41.37 W, 2489 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:28:27.365, 61, 41.63 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:28.365, 61, 41.55 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:28:29.366, 61, 27.00 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:28:30.367, 65, 66.35 W, 2463 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:31.367, 65, 70.01 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:32.368, 69, 67.58 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:33.369, 68, 68.91 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:34.369, 65, 70.87 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:35.370, 67, 70.64 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:36.370, 70, 66.26 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:37.370, 69, 66.60 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:38.371, 65, 65.35 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:39.371, 72, 71.28 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:40.372, 67, 68.02 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:41.372, 71, 70.26 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:42.373, 72, 70.61 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:43.373, 71, 72.64 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:44.374, 68, 68.80 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:45.374, 69, 68.91 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:46.374, 71, 69.92 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:47.375, 73, 74.39 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:48.375, 71, 71.79 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:49.375, 67, 63.85 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:50.376, 72, 68.33 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:51.376, 69, 71.15 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:52.377, 71, 74.51 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:53.377, 68, 65.86 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:28:54.378, 70, 67.99 W, 2418 MHz, [N/A], 96 %, [N/A]
