timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 12:04:51.331, 49, 13.52 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 12:04:52.344, 49, 15.78 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 12:04:53.344, 56, 66.53 W, 2476 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:04:54.344, 56, 66.90 W, 2470 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:04:55.345, 59, 64.73 W, 2463 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:04:56.345, 62, 64.53 W, 2463 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:04:57.345, 56, 52.55 W, 2470 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:04:58.346, 57, 40.37 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:04:59.347, 57, 40.29 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:00.347, 58, 40.44 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:01.347, 58, 40.53 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:02.348, 59, 40.69 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:03.348, 59, 40.70 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:04.349, 59, 41.01 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:05.349, 59, 39.24 W, 2483 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:06.350, 60, 40.83 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:07.350, 60, 40.95 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:08.351, 60, 41.19 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:09.351, 60, 41.29 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:10.352, 61, 41.42 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:11.352, 61, 41.41 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:12.353, 62, 43.00 W, 2476 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:13.353, 62, 41.37 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:14.354, 62, 41.48 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:15.354, 62, 41.45 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:16.355, 62, 41.55 W, 2483 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:17.355, 63, 41.55 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:18.356, 62, 41.74 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:19.356, 63, 41.64 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:20.356, 66, 29.52 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 12:05:21.357, 66, 70.67 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:22.357, 65, 69.64 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:23.358, 70, 68.51 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:24.358, 69, 69.22 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:25.359, 70, 72.08 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:26.359, 70, 69.88 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:27.360, 69, 66.76 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:28.361, 70, 67.32 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:29.361, 68, 68.10 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:30.361, 69, 73.21 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:31.362, 69, 66.36 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:32.362, 72, 70.57 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:33.363, 70, 71.17 W, 2444 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:34.363, 71, 73.53 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:35.364, 69, 67.95 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:36.364, 69, 70.69 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:37.365, 73, 71.53 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:38.365, 73, 73.66 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:39.366, 69, 68.20 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:40.367, 74, 64.51 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:41.367, 73, 69.19 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:42.367, 72, 72.00 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:43.368, 70, 75.07 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:44.368, 75, 67.67 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:45.369, 74, 71.62 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:46.369, 73, 71.32 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:47.370, 74, 75.06 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:48.370, 73, 71.10 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:49.371, 75, 69.73 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:50.372, 73, 71.09 W, 2431 MHz, [N/A], 96 %, [N/A]
