timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 12:04:51.639, 48, 12.59 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 12:04:52.652, 55, 30.83 W, 2457 MHz, [N/A], 0 %, [N/A]
2026/07/19 12:04:53.652, 60, 69.00 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:04:54.653, 61, 66.68 W, 2457 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:04:55.653, 58, 65.36 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:04:56.654, 60, 61.59 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:04:57.654, 56, 49.90 W, 2470 MHz, [N/A], 86 %, [N/A]
2026/07/19 12:04:58.655, 56, 40.78 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:04:59.655, 56, 40.52 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:00.656, 57, 40.84 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:01.656, 57, 40.74 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:05:02.657, 57, 40.91 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:05:03.657, 58, 40.88 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:05:04.658, 55, 38.38 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:05.658, 58, 41.81 W, 2470 MHz, [N/A], 93 %, [N/A]
2026/07/19 12:05:06.659, 58, 41.07 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:07.659, 58, 41.21 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:08.659, 59, 41.46 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:05:09.660, 59, 41.50 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:10.661, 60, 41.47 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:05:11.662, 60, 41.71 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:05:12.662, 60, 42.98 W, 2470 MHz, [N/A], 89 %, [N/A]
2026/07/19 12:05:13.662, 60, 41.53 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:05:14.663, 60, 41.48 W, 2470 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:05:15.663, 61, 41.51 W, 2470 MHz, [N/A], 93 %, [N/A]
