timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:42:36.452, 52, 14.05 W, 2398 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:42:37.468, 56, 25.28 W, 2476 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:42:38.468, 57, 40.68 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:39.469, 58, 41.44 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:40.469, 58, 41.61 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:41.470, 58, 41.97 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:42.470, 59, 42.17 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:43.470, 60, 42.29 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:44.471, 60, 42.45 W, 2489 MHz, [N/A], 52 %, [N/A]
2026/07/19 10:42:45.471, 60, 42.28 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:46.471, 61, 41.54 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:47.472, 61, 42.37 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:48.472, 61, 42.67 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:49.472, 62, 42.78 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:50.473, 62, 42.83 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:51.473, 62, 42.56 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:52.474, 62, 44.06 W, 2483 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:42:53.474, 63, 42.74 W, 2489 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:54.475, 63, 42.83 W, 2470 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:42:55.475, 63, 42.85 W, 2470 MHz, [N/A], 95 %, [N/A]
